figmaVariableName,mode,value,type,alias,defaultMode
layers/layer-1/elements/text/alert,Dark,brand/palettes/core-colors/alert/tone,COLOR,true,false
layers/layer-1/elements/text/color,Dark,brand/palettes/neutral/050/color/on-tone,COLOR,true,false
layers/layer-1/elements/interactive/color,Dark,brand/palettes/palette-1/600/color/tone,COLOR,true,false
layers/layer-1/elements/interactive/hover-color,Dark,brand/palettes/palette-1/600/color/tone,COLOR,true,false
layers/layer-3/properties/elevation,Dark,brand/elevations/elevation-4,STRING,true,false
layers/layer-3/properties/border-radius,Dark,tokens/sizes/default,FLOAT,true,false
layers/layer-3/properties/surface,Dark,brand/palettes/neutral/200/color/tone,COLOR,true,false
layers/layer-3/properties/padding,Dark,tokens/sizes/2x,FLOAT,true,false
layers/layer-3/properties/border-color,Dark,brand/palettes/neutral/300/color/tone,COLOR,true,false
layers/layer-3/properties/border-thickness,Dark,0,FLOAT,false,false
layers/layer-3/elements/text/warning,Dark,brand/palettes/core-colors/warning/tone,COLOR,true,false
layers/layer-3/elements/text/success,Dark,brand/palettes/core-colors/success/tone,COLOR,true,false
layers/layer-3/elements/text/alert,Dark,brand/palettes/core-colors/alert/tone,COLOR,true,false
layers/layer-3/elements/text/color,Dark,brand/palettes/neutral/200/color/on-tone,COLOR,true,false
layers/layer-3/elements/interactive/color,Dark,brand/palettes/palette-1/700/color/tone,COLOR,true,false
layers/layer-3/elements/interactive/hover-color,Dark,brand/palettes/palette-1/600/color/tone,COLOR,true,false
layers/layer-2/elements/text/success,Dark,brand/palettes/core-colors/success/tone,COLOR,true,false
layers/layer-2/elements/text/alert,Dark,brand/palettes/core-colors/alert/tone,COLOR,true,false
layers/layer-2/elements/text/color,Dark,brand/palettes/neutral/100/color/on-tone,COLOR,true,false
layers/layer-2/elements/text/warning,Dark,brand/palettes/core-colors/warning/tone,COLOR,true,false
layers/layer-2/elements/interactive/color,Dark,brand/palettes/palette-1/700/color/tone,COLOR,true,false
layers/layer-2/elements/interactive/hover-color,Dark,brand/palettes/palette-1/600/color/tone,COLOR,true,false
layers/layer-2/properties/surface,Dark,brand/palettes/neutral/050/color/tone,COLOR,true,false
layers/layer-2/properties/padding,Dark,tokens/sizes/2x,FLOAT,true,false
layers/layer-2/properties/elevation,Dark,brand/elevations/elevation-2,STRING,true,false
layers/layer-2/properties/border-radius,Dark,tokens/sizes/2x,FLOAT,true,false
layers/layer-2/properties/border-color,Dark,brand/palettes/neutral/200/color/tone,COLOR,true,false
layers/layer-2/properties/border-thickness,Dark,0,FLOAT,false,false
states/disabled,Dark,tokens/opacities/ghost,FLOAT,true,false
states/hover,Dark,tokens/opacities/mist,FLOAT,true,false
states/overlay/color,Dark,brand/palettes/core-colors/white/tone,COLOR,true,false
states/overlay/opacity,Dark,tokens/opacities/ghost,FLOAT,true,false
text-emphasis/low,Dark,tokens/opacities/smoky,FLOAT,true,false
text-emphasis/high,Dark,tokens/opacities/solid,FLOAT,true,false
palettes/neutral/100/color/tone,Dark,tokens/colors/gray/800,COLOR,true,false
palettes/neutral/100/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/neutral/200/color/tone,Dark,tokens/colors/gray/700,COLOR,true,false
palettes/neutral/200/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/neutral/300/color/tone,Dark,tokens/colors/gray/600,COLOR,true,false
palettes/neutral/300/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/neutral/400/color/tone,Dark,tokens/colors/gray/500,COLOR,true,false
palettes/neutral/400/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/neutral/500/color/tone,Dark,tokens/colors/gray/400,COLOR,true,false
palettes/neutral/500/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/neutral/600/color/tone,Dark,tokens/colors/gray/300,COLOR,true,false
palettes/neutral/600/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/neutral/700/color/tone,Dark,tokens/colors/gray/200,COLOR,true,false
palettes/neutral/700/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/neutral/800/color/tone,Dark,tokens/colors/gray/100,COLOR,true,false
palettes/neutral/800/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/neutral/900/color/tone,Dark,tokens/colors/gray/050,COLOR,true,false
palettes/neutral/900/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/neutral/1000/color/tone,Dark,tokens/colors/gray/000,COLOR,true,false
palettes/neutral/1000/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/neutral/000/color/tone,Dark,tokens/colors/gray/1000,COLOR,true,false
palettes/neutral/000/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/neutral/050/color/tone,Dark,tokens/colors/gray/900,COLOR,true,false
palettes/neutral/050/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/neutral/default,Dark,brand/palettes/neutral/800/color/tone,COLOR,true,false
palettes/palette-1/100/color/tone,Dark,tokens/colors/salmon/800,COLOR,true,false
palettes/palette-1/100/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-1/200/color/tone,Dark,tokens/colors/salmon/700,COLOR,true,false
palettes/palette-1/200/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-1/300/color/tone,Dark,tokens/colors/salmon/600,COLOR,true,false
palettes/palette-1/300/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-1/400/color/tone,Dark,tokens/colors/salmon/500,COLOR,true,false
palettes/palette-1/400/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-1/500/color/tone,Dark,tokens/colors/salmon/400,COLOR,true,false
palettes/palette-1/500/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-1/600/color/tone,Dark,tokens/colors/salmon/300,COLOR,true,false
palettes/palette-1/600/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-1/700/color/tone,Dark,tokens/colors/salmon/200,COLOR,true,false
palettes/palette-1/700/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-1/800/color/tone,Dark,tokens/colors/salmon/100,COLOR,true,false
palettes/palette-1/800/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-1/900/color/tone,Dark,tokens/colors/salmon/050,COLOR,true,false
palettes/palette-1/900/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-1/1000/color/tone,Dark,tokens/colors/salmon/000,COLOR,true,false
palettes/palette-1/1000/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-1/000/color/tone,Dark,tokens/colors/salmon/1000,COLOR,true,false
palettes/palette-1/000/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-1/050/color/tone,Dark,tokens/colors/salmon/900,COLOR,true,false
palettes/palette-1/050/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-1/default,Dark,brand/palettes/palette-1/600/color/tone,COLOR,true,false
palettes/palette-2/100/color/tone,Dark,tokens/colors/cornflower/800,COLOR,true,false
palettes/palette-2/100/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-2/200/color/tone,Dark,tokens/colors/cornflower/700,COLOR,true,false
palettes/palette-2/200/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-2/300/color/tone,Dark,tokens/colors/cornflower/600,COLOR,true,false
palettes/palette-2/300/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-2/400/color/tone,Dark,tokens/colors/cornflower/500,COLOR,true,false
palettes/palette-2/400/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-2/500/color/tone,Dark,tokens/colors/cornflower/400,COLOR,true,false
palettes/palette-2/500/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-2/600/color/tone,Dark,tokens/colors/cornflower/300,COLOR,true,false
palettes/palette-2/600/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-2/700/color/tone,Dark,tokens/colors/cornflower/200,COLOR,true,false
palettes/palette-2/700/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-2/800/color/tone,Dark,tokens/colors/cornflower/100,COLOR,true,false
palettes/palette-2/800/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-2/900/color/tone,Dark,tokens/colors/cornflower/050,COLOR,true,false
palettes/palette-2/900/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-2/1000/color/tone,Dark,tokens/colors/cornflower/000,COLOR,true,false
palettes/palette-2/1000/color/on-tone,Dark,brand/palettes/core-colors/black/on-tone,COLOR,true,false
palettes/palette-2/000/color/tone,Dark,tokens/colors/cornflower/1000,COLOR,true,false
palettes/palette-2/000/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
palettes/palette-2/050/color/tone,Dark,tokens/colors/cornflower/900,COLOR,true,false
palettes/palette-2/050/color/on-tone,Dark,brand/palettes/core-colors/white/on-tone,COLOR,true,false
