figmaVariableName,mode,value,type,alias,defaultMode
components/avatar/variants/sizes/large/properties/text/letter-spacing,2,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/large/properties/text/letter-spacing,3,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/large/properties/text/line-height,0,tokens/font/line-heights/default,FLOAT,true,true
components/avatar/variants/sizes/large/properties/text/line-height,1,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/line-height,2,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/line-height,3,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/text-decoration,0,none,STRING,false,true
components/avatar/variants/sizes/large/properties/text/text-decoration,1,none,STRING,false,false
components/avatar/variants/sizes/large/properties/text/text-decoration,2,none,STRING,false,false
components/avatar/variants/sizes/large/properties/text/text-decoration,3,none,STRING,false,false
components/avatar/variants/sizes/large/properties/text/text-transform,0,none,STRING,false,true
components/avatar/variants/sizes/large/properties/text/text-transform,1,none,STRING,false,false
components/avatar/variants/sizes/large/properties/text/text-transform,2,none,STRING,false,false
components/avatar/variants/sizes/large/properties/text/text-transform,3,none,STRING,false,false
components/avatar/variants/sizes/large/properties/text/font-style,0,normal,STRING,false,true
components/avatar/variants/sizes/large/properties/text/font-style,1,normal,STRING,false,false
components/avatar/variants/sizes/large/properties/text/font-style,2,normal,STRING,false,false
components/avatar/variants/sizes/large/properties/text/font-style,3,normal,STRING,false,false
components/avatar/properties/padding,0,0,FLOAT,false,true
components/avatar/properties/padding,1,0,FLOAT,false,false
components/avatar/properties/padding,2,0,FLOAT,false,false
components/avatar/properties/padding,3,0,FLOAT,false,false
components/avatar/properties/border-size,0,1,FLOAT,false,true
components/avatar/properties/border-size,1,1,FLOAT,false,false
components/avatar/properties/border-size,2,1,FLOAT,false,false
components/avatar/properties/border-size,3,1,FLOAT,false,false
components/avatar/properties/border-radius,0,brand/dimensions/border-radii/2xl,FLOAT,true,true
components/avatar/properties/border-radius,1,brand/dimensions/border-radii/2xl,FLOAT,true,false
components/avatar/properties/border-radius,2,brand/dimensions/border-radii/2xl,FLOAT,true,false
components/avatar/properties/border-radius,3,brand/dimensions/border-radii/2xl,FLOAT,true,false
components/avatar/properties/elevation,0,brand/elevations/elevation-0,STRING,true,true
