collection,figmaVariableName,mode,value,type,alias,defaultMode
layer,components/dropdown/variants/states/disabled/properties/colors/trailing-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/disabled/properties/colors/trailing-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/trailing-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/trailing-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/border-color,0,ui-kit/globals/form/field/colors/border,COLOR,true,true
layer,components/dropdown/variants/states/disabled/properties/colors/border-color,1,ui-kit/globals/form/field/colors/border,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/border-color,2,ui-kit/globals/form/field/colors/border,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/border-color,3,ui-kit/globals/form/field/colors/border,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/border-size,0,1,FLOAT,false,true
layer,components/dropdown/variants/states/disabled/properties/border-size,1,1,FLOAT,false,false
layer,components/dropdown/variants/states/disabled/properties/border-size,2,1,FLOAT,false,false
layer,components/dropdown/variants/states/disabled/properties/border-size,3,1,FLOAT,false,false
layer,components/dropdown/variants/layouts/stacked/properties/top-bottom-margin,0,brand/dimensions/general/default,FLOAT,true,true
layer,components/dropdown/variants/layouts/stacked/properties/top-bottom-margin,1,brand/dimensions/general/default,FLOAT,true,false
layer,components/dropdown/variants/layouts/stacked/properties/top-bottom-margin,2,brand/dimensions/general/default,FLOAT,true,false
layer,components/dropdown/variants/layouts/stacked/properties/top-bottom-margin,3,brand/dimensions/general/default,FLOAT,true,false
layer,components/dropdown/variants/layouts/side-by-side/properties/top-bottom-margin,0,0,FLOAT,false,true
layer,components/dropdown/variants/layouts/side-by-side/properties/top-bottom-margin,1,0,FLOAT,false,false
layer,components/dropdown/variants/layouts/side-by-side/properties/top-bottom-margin,2,0,FLOAT,false,false
layer,components/dropdown/variants/layouts/side-by-side/properties/top-bottom-margin,3,0,FLOAT,false,false
layer,components/dropdown/properties/border-radius,0,ui-kit/globals/form/field/size/border-radius,FLOAT,true,true
layer,components/dropdown/properties/border-radius,1,ui-kit/globals/form/field/size/border-radius,FLOAT,true,false
layer,components/dropdown/properties/border-radius,2,ui-kit/globals/form/field/size/border-radius,FLOAT,true,false
